,Rank,Team,Nb_avg,Nb_avg_denom,Nb_size
0,3.8579752319067957,Spain,0.0,0.0,0.0
1,3.2288077786519493,Germany,0.0,0.0,0.0
2,2.852847139478889,Uruguay,0.0,0.0,0.0
3,3.3988491622481183,Netherlands,0.0,0.0,0.0
4,2.5613733199933764,Portugal,0.0,0.0,0.0
5,3.5580295228140484,Brazil,0.0,0.0,0.0
6,3.0971105747770378,England,0.0,0.0,0.0
7,2.6902461859913234,Croatia,0.0,0.0,0.0
8,3.1338231356595756,Argentina,0.0,0.0,0.0
9,2.3229588041302147,Denmark,0.0,0.0,0.0
10,2.3469446797845297,Russia,0.0,0.0,0.0
11,2.5715707208193894,Italy,0.0,0.0,0.0
12,2.5444249616437578,Chile,0.0,0.0,0.0
13,2.1366202316675484,Greece,0.0,0.0,0.0
14,2.2247399496828426,Côted'Ivoire,0.0,0.0,0.0
15,2.8107361835316276,France,0.0,0.0,0.0
16,2.412005924489081,Sweden,0.0,0.0,0.0
17,2.234590247283855,RepublicofIreland,0.0,0.0,0.0
18,2.0485753409551264,Switzerland,0.0,0.0,0.0
19,2.4289891514142559,Mexico,0.0,0.0,0.0
20,2.4516940102437701,Australia,0.0,0.0,0.0
21,1.7310189735450361,Ghana,0.0,0.0,0.0
22,2.2768380427454908,Colombia,0.0,0.0,0.0
23,2.1794796486655383,Norway,0.0,0.0,0.0
24,2.2217008966814378,Paraguay,0.0,0.0,0.0
25,2.1752559003312704,CzechRepublic,0.0,0.0,0.0
26,1.7449912868231006,Bosnia-Herzegovina,0.0,0.0,0.0
27,1.5131499410688392,Slovenia,0.0,0.0,0.0
28,2.166215194689725,USA,0.0,0.0,0.0
29,2.3469089073658203,Japan,0.0,0.0,0.0
30,2.339217761951534,KoreaRepublic,0.0,0.0,0.0
31,1.7574111566530113,Serbia,0.0,0.0,0.0
32,2.1968292992107079,Turkey,0.0,0.0,0.0
33,1.5349137351301514,Slovakia,0.0,0.0,0.0
34,1.6731982547504731,Hungary,0.0,0.0,0.0
35,1.7482199411428452,Peru,0.0,0.0,0.0
36,2.0251366946731792,Ecuador,0.0,0.0,0.0
37,1.2057344635305132,Algeria,0.0,0.0,0.0
38,1.0097363283180716,Mali,0.0,0.0,0.0
39,0.81558679000444001,Zambia,0.0,0.0,0.0
40,1.3563854089912013,Wales,0.0,0.0,0.0
41,1.0392519707898464,Gabon,0.0,0.0,0.0
42,1.7746475620584059,Venezuela,0.0,0.0,0.0
43,1.8125616860458897,Belgium,0.0,0.0,0.0
44,1.8538571406715618,Romania,0.0,0.0,0.0
45,0.96063908891978689,Libya,0.0,0.0,0.0
46,0.81326938576242025,Armenia,0.0,0.0,0.0
47,1.8650399408088529,Scotland,0.0,0.0,0.0
48,0.47693272575804174,ElSalvador,0.0,0.0,0.0
49,2.3261390316357224,Ukraine,0.0,0.0,0.0
50,1.2445705395860498,Jamaica,0.0,0.0,0.0
51,2.0502901823926649,Iran,0.0,0.0,0.0
52,1.3583441641511766,Panama,0.0,0.0,0.0
53,0.93712513668451825,Estonia,0.0,0.0,0.0
54,1.5318740678400222,Montenegro,0.0,0.0,0.0
55,1.0973093185375409,Tunisia,0.0,0.0,0.0
56,2.0893945102767706,Egypt,0.0,0.0,0.0
57,1.5063625407815433,Israel,0.0,0.0,0.0
58,1.4062158860408236,CostaRica,0.0,0.0,0.0
59,1.1902920609730179,Morocco,0.0,0.0,0.0
60,-0.55853298207021673,SierraLeone,0.0,0.0,0.0
61,1.5126854563600216,Honduras,0.0,0.0,0.0
62,1.562311055957063,Nigeria,0.0,0.0,0.0
63,1.5310234647593894,Cameroon,0.0,0.0,0.0
64,2.0218610082250255,Poland,0.0,0.0,0.0
65,1.6159889858539502,ChinaPR,0.0,0.0,0.0
66,1.6051884553579361,SouthAfrica,0.0,0.0,0.0
67,0.85014253108811622,Guinea,0.0,0.0,0.0
68,1.2219512626314384,Belarus,0.0,0.0,0.0
69,1.0284186128119301,Uzbekistan,0.0,0.0,0.0
70,-0.20364606275031716,Haiti,0.0,0.0,0.0
71,1.3694066191243517,Iraq,0.0,0.0,0.0
72,1.272108866891583,Austria,0.0,0.0,0.0
73,0.79149355608081484,Latvia,0.0,0.0,0.0
74,0.94142329927934132,Canada,0.0,0.0,0.0
75,0.82281946347063051,CapeVerdeIslands,0.0,0.0,0.0
76,1.3175170263391935,Senegal,0.0,0.0,0.0
77,0.80806623941862799,Angola,0.0,0.0,0.0
78,1.2334657743561506,Finland,0.0,0.0,0.0
79,0.66477703826642498,BurkinaFaso,0.0,0.0,0.0
80,1.0599936361677245,Jordan,0.0,0.0,0.0
81,0.34555608013048722,TrinidadandTobago,0.0,0.0,0.0
82,0.49610538673834187,Guatemala,0.0,0.0,0.0
83,0.93409755349103596,Albania,0.0,0.0,0.0
84,1.111246674841927,Qatar,0.0,0.0,0.0
85,0.84581263591277922,KoreaDPR,0.0,0.0,0.0
86,1.2317450021355631,Kuwait,0.0,0.0,0.0
87,-0.0040410036345500102,Togo,0.0,0.0,0.0
88,1.1192837669932532,Lithuania,0.0,0.0,0.0
89,1.4592869091895766,SaudiArabia,0.0,0.0,0.0
90,0.40894479198646355,Congo,0.0,0.0,0.0
91,1.3753433011918148,Oman,0.0,0.0,0.0
92,0.84581495188217948,Uganda,0.0,0.0,0.0
93,1.1919421202006644,Bahrain,0.0,0.0,0.0
94,0.80436719564449199,Georgia,0.0,0.0,0.0
95,1.5160581414645493,Bulgaria,0.0,0.0,0.0
96,0.092564434475792948,Vietnam,0.0,0.0,0.0
