p=1 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
394 63 231 706
395 82 183 735
396 124 149 727
397 203 119 678
398 311 110 579
399 389 120 491
400 462 156 382
401 474 209 317
402 421 295 284
403 344 396 260
404 282 507 211
405 182 599 219
406 116 708 176
407 88 764 148
408 59 756 185
409 51 732 217
410 42 654 304
411 45 562 393
412 49 448 503
413 48 352 600
414 67 244 689
415 111 169 720
416 159 133 708
417 232 109 659
418 328 114 558
419 403 110 487
420 454 149 397
421 492 194 314
422 447 264 289
423 345 384 271
424 247 522 231
425 172 644 184
426 144 714 142
427 94 746 160
428 59 757 184
429 50 747 203
430 39 686 275
431 34 577 389
432 35 444 521
433 48 321 631
434 59 238 703
435 99 195 706
436 148 144 708
437 211 105 684
438 313 103 584
439 425 110 465
440 507 131 362
441 510 172 318
442 441 252 307
443 365 364 271
444 273 491 236
445 200 622 178
446 132 697 171
447 87 758 155
448 64 782 154
449 50 764 186
450 35 698 267
451 33 601 366
452 35 476 489
453 44 343 613
454 62 259 679
455 84 180 736
456 125 134 741
457 198 111 691
458 291 104 605
459 396 108 496
460 487 128 385
461 501 170 329
462 477 240 283
463 398 343 259
464 296 468 236
465 212 593 195
466 143 684 173
467 92 749 159
468 59 780 161
469 45 771 184
470 35 715 250
471 36 622 342
472 39 496 465
473 48 368 584
474 61 268 671
475 81 190 729
476 117 139 744
477 180 112 708
478 271 105 624
479 379 107 514
480 459 125 416
481 508 173 319
482 511 224 265
483 449 299 252
484 358 412 230
485 261 530 209
486 183 634 183
487 122 710 168
488 76 753 171
489 58 751 191
490 47 718 235
491 46 654 300
492 48 542 410
493 56 422 522
494 61 310 629
495 81 229 690
496 127 166 707
497 172 122 706
498 241 110 649
499 335 105 560
500 419 123 458
501 477 159 364
502 491 213 296
503 463 280 257
504 403 371 226
505 284 475 241
506 192 606 202
507 126 703 171
508 76 751 173
509 58 765 177
510 53 729 218
511 48 667 285
512 37 581 382
513 43 488 469
514 48 351 601
515 66 249 685
516 98 183 719
517 150 137 713
518 207 121 672
519 278 126 596
520 360 141 499
521 443 152 405
522 488 206 306
523 443 263 294
524 369 374 257
525 284 494 222
526 207 595 198
527 133 667 200
528 111 726 163
529 68 737 195
530 53 726 221
531 51 684 265
532 46 575 379
533 41 460 499
534 57 364 579
535 75 276 649
536 93 199 708
537 141 170 689
538 196 133 671
539 287 120 593
540 380 138 482
541 426 160 414
542 434 210 356
543 418 290 292
544 327 383 290
545 258 503 239
546 193 609 198
547 130 687 183
548 86 732 182
549 60 754 186
550 42 730 228
551 33 668 299
552 35 584 381
553 39 462 499
554 45 352 603
555 70 268 662
556 95 198 707
557 148 151 701
558 218 122 660
559 300 114 586
560 396 116 488
561 467 142 391
562 480 181 339
563 470 252 278
564 414 332 254
565 328 435 237
566 238 550 212
567 157 648 195
568 91 727 182
569 61 767 172
570 47 758 195
571 44 701 255
572 41 624 335
573 41 524 435
574 48 409 543
575 65 304 631
576 90 208 702
577 125 143 732
578 188 117 695
579 248 111 641
580 337 128 535
581 429 139 432
582 482 162 356
583 502 214 284
584 467 290 243
585 393 390 217
586 289 490 221
587 185 600 215
588 137 687 176
589 88 724 188
590 65 750 185
591 43 721 236
592 36 667 297
593 40 574 386
594 43 470 487
595 67 357 576
596 87 246 667
597 114 189 697
598 159 136 705
599 221 120 659
600 306 112 582
601 376 120 504
602 455 154 391
603 497 188 315
604 466 257 277
605 418 345 237
606 314 446 240
607 212 566 222
608 151 676 173
609 91 729 180
610 65 755 180
611 51 747 202
612 48 692 260
613 45 607 348
614 48 509 443
615 52 386 562
616 75 272 653
617 107 196 697
618 145 138 717
619 202 108 690
620 284 106 610
621 357 109 534
622 445 134 421
623 499 169 332
624 476 229 295
625 421 328 251
626 313 441 246
627 220 579 201
628 142 674 184
629 92 749 159
630 67 774 159
631 53 764 183
632 41 718 241
633 43 631 326
634 44 516 440
635 57 377 566
636 62 269 669
637 92 189 719
638 130 134 736
639 187 106 707
640 268 95 637
641 358 101 541
642 447 126 427
643 480 176 344
644 462 251 287
645 393 349 258
646 302 473 225
647 210 592 198
648 146 695 159
649 96 753 151
650 61 778 161
651 40 763 197
652 36 709 255
653 39 615 346
654 39 488 473
655 52 369 579
656 60 253 687
657 79 187 734
658 130 143 727
659 188 107 705
660 272 103 625
661 380 113 507
662 457 132 411
663 477 174 349
664 455 270 275
665 379 358 263
666 307 478 215
667 220 586 194
668 141 677 182
669 76 746 178
670 56 792 152
671 37 770 193
672 43 693 264
673 45 599 356
674 39 477 484
675 49 375 576
676 61 274 665
677 80 193 727
678 127 128 745
679 213 103 684
680 292 94 614
681 388 109 503
682 443 135 422
683 480 182 338
684 464 246 290
685 404 343 253
686 287 468 245
687 204 610 186
688 137 702 161
689 92 754 154
690 70 773 157
691 55 748 197
692 48 699 253
693 39 609 352
694 37 493 470
695 46 353 601
696 59 252 689
697 90 187 723
698 142 137 721
699 200 110 690
700 279 101 620
701 370 112 518
702 473 137 390
703 502 174 324
704 474 246 280
705 409 339 252
706 322 454 224
707 218 568 214
708 133 681 186
709 96 755 149
710 69 767 164
711 39 757 204
712 38 715 247
713 32 623 345
714 30 514 456
715 43 402 555
716 66 276 658
717 97 179 724
718 128 136 736
719 187 115 698
720 269 98 633
721 360 108 532
722 439 126 435
723 498 159 343
724 511 226 263
725 436 310 254
726 325 428 247
727 239 560 201
728 146 663 191
729 82 746 172
730 64 792 144
731 38 777 185
732 29 736 235
733 24 661 315
734 28 548 424
735 35 412 553
736 53 302 645
737 81 201 718
738 118 127 755
739 175 105 720
740 249 89 662
741 351 90 559
742 469 101 430
743 521 119 360
744 526 177 297
745 471 273 256
746 362 402 236
747 270 533 197
748 176 641 183
749 110 734 156
750 66 789 145
751 56 815 129
752 43 767 190
753 32 684 284
754 32 566 402
755 37 435 528
756 45 322 633
757 65 221 714
758 87 146 767
759 147 98 755
760 233 86 681
761 340 83 577
762 439 94 467
763 497 126 377
764 516 181 303
765 481 263 256
766 395 373 232
767 289 507 204
768 178 625 197
769 116 739 145
770 66 790 144
771 51 808 141
772 35 768 197
773 26 702 272
774 28 601 371
775 34 465 501
776 41 341 618
777 59 220 721
778 93 151 756
779 142 99 759
780 219 90 691
781 300 79 621
782 401 99 500
783 471 134 395
784 521 188 291
785 489 259 252
786 415 360 225
787 293 486 221
788 204 617 179
789 134 717 149
790 83 767 150
791 50 783 167
792 43 762 195
793 38 698 264
794 33 602 365
795 39 481 480
796 43 344 613
797 64 240 696
798 96 169 735
799 141 121 738
800 209 97 694
801 292 93 615
802 386 106 508
803 484 133 383
804 522 172 306
805 494 238 268
806 419 337 244
807 327 460 213
808 219 576 205
809 142 688 170
810 86 752 162
811 54 781 165
812 42 774 184
813 38 720 242
814 36 625 339
815 34 504 462
816 33 390 577
817 51 279 670
818 80 197 723
819 119 139 742
820 183 107 710
821 269 97 634
822 364 106 530
823 436 132 432
824 482 174 344
825 465 239 296
826 408 338 254
827 317 453 230
828 226 576 198
829 163 677 160
830 106 731 163
831 73 762 165
832 58 753 189
833 41 703 256
834 35 621 344
835 33 512 455
836 34 391 575
837 52 289 659
838 83 217 700
839 126 155 719
840 193 121 686
841 285 104 611
842 367 94 539
843 452 121 427
844 496 157 347
845 486 215 299
846 440 297 263
847 338 405 257
848 227 541 232
849 170 669 161
850 122 736 142
851 86 757 157
852 65 757 178
853 50 720 230
854 37 653 310
855 39 558 403
856 38 420 542
857 49 293 658
858 84 215 701
859 123 159 718
860 178 120 702
861 249 102 649
862 322 98 580
863 437 120 443
864 510 143 347
865 495 197 308
866 445 290 265
867 367 396 237
868 270 513 217
869 189 628 183
870 131 713 156
871 82 749 169
872 59 775 166
873 48 744 208
874 39 662 299
875 32 565 403
876 35 455 510
877 42 337 621
878 74 245 681
879 93 177 730
880 144 132 724
881 223 112 665
882 303 115 582
883 387 132 481
884 459 158 383
885 479 204 317
886 430 276 294
887 367 393 240
888 268 501 231
889 180 620 200
890 128 705 167
891 94 740 166
892 70 748 182
893 58 726 216
894 33 666 301
895 37 574 389
896 38 462 500
897 43 342 615
898 67 252 681
899 97 193 710
900 139 155 706
901 202 135 663
902 302 132 566
903 383 124 493
904 453 155 392
905 472 205 323
906 422 276 302
907 340 385 275
908 240 505 255
909 170 625 205
910 141 698 161
911 90 735 175
912 70 755 175
913 55 725 220
914 49 669 282
915 41 566 393
916 47 454 499
917 56 328 616
918 71 246 683
919 102 194 704
920 149 143 708
921 211 126 663
922 298 120 582
923 398 136 466
924 486 148 366
925 501 186 313
926 448 253 299
927 387 358 255
928 289 470 241
929 194 585 221
930 124 686 190
931 85 740 175
932 52 767 181
933 41 762 197
934 35 706 259
935 40 607 353
936 41 490 469
937 56 374 570
938 75 258 667
939 96 185 719
940 129 137 734
941 195 109 696
942 282 99 619
943 371 111 518
944 452 139 409
945 503 174 323
946 480 239 281
947 411 335 254
948 326 452 222
949 230 565 205
950 154 671 175
951 93 735 172
952 61 768 171
953 47 765 188
954 41 714 245
955 40 624 336
956 39 508 453
957 39 396 565
958 61 290 649
959 82 204 714
960 112 150 738
961 171 123 706
962 256 115 629
963 346 120 534
964 421 146 433
965 470 183 347
966 471 240 289
967 412 325 263
968 327 438 235
969 229 550 221
970 163 656 181
971 108 717 175
972 78 746 176
973 61 739 200
974 39 699 262
975 41 636 323
976 51 521 428
977 51 399 550
978 64 293 643
979 91 219 690
980 117 163 720
981 159 144 697
982 223 142 635
983 314 141 545
984 388 165 447
985 438 213 349
986 426 269 305
987 375 355 270
988 293 462 245
989 220 563 217
990 163 638 199
991 110 696 194
992 83 725 192
993 60 704 236
994 40 671 289
995 34 605 361
996 49 504 447
997 63 388 549
998 73 299 628
999 96 231 673
1000 137 179 684
1001 184 159 657
1002 249 145 606
1003 329 146 525
1004 407 167 426
1005 431 205 364
1006 420 270 310
1007 391 349 260
1008 305 430 265
1009 231 536 233
1010 174 624 202
1011 122 680 198
1012 73 711 216
1013 48 722 230
1014 48 682 270
1015 43 603 354
1016 43 527 430
1017 51 421 528
1018 65 325 610
1019 95 255 650
1020 130 194 676
1021 182 148 670
1022 257 136 607
1023 315 140 545
1024 396 158 446
1025 441 183 376
1026 423 234 343
1027 398 322 280
1028 342 408 250
1029 262 510 228
1030 182 602 216
1031 132 678 190
1032 96 710 194
1033 69 721 210
1034 66 697 237
1035 49 612 339
1036 41 543 416
1037 54 449 497
1038 61 344 595
1039 86 261 653
1040 112 204 684
1041 160 167 673
1042 247 143 610
1043 307 141 552
1044 378 150 472
1045 443 173 384
1046 457 213 330
1047 403 282 315
1048 344 393 263
1049 279 489 232
1050 186 578 236
1051 132 673 195
1052 98 718 184
1053 71 729 200
1054 58 716 226
1055 46 660 294
1056 49 561 390
1057 54 462 484
1058 57 368 575
1059 79 270 651
1060 112 203 685
1061 153 159 688
1062 207 131 662
1063 299 133 568
1064 369 140 491
1065 413 169 418
1066 450 219 331
1067 416 280 304
1068 330 381 289
1069 269 511 220
1070 191 600 209
1071 145 676 179
1072 102 715 183
1073 75 729 196
1074 63 706 231
1075 51 657 292
1076 42 568 390
1077 41 447 512
1078 56 359 585
1079 72 268 660
1080 105 213 682
1081 155 166 679
1082 207 139 654
1083 289 136 575
1084 395 143 462
1085 430 158 412
1086 460 211 329
1087 430 272 298
1088 357 357 286
1089 276 477 247
1090 201 585 214
1091 133 663 204
1092 103 724 173
1093 66 739 195
1094 48 723 229
1095 43 680 277
1096 32 600 368
1097 34 491 475
1098 49 381 570
1099 70 288 642
1100 89 206 705
1101 139 172 689
1102 192 138 670
1103 260 128 612
1104 347 140 513
1105 405 162 433
1106 419 214 367
1107 405 293 302
1108 338 389 273
1109 266 490 244
1110 204 596 200
1111 143 668 189
1112 100 717 183
1113 64 738 198
1114 42 722 236
1115 42 665 293
1116 45 569 386
1117 49 465 486
1118 59 355 586
1119 77 273 650
1120 105 206 689
1121 153 157 690
1122 222 125 653
1123 288 113 599
1124 368 143 489
1125 421 167 412
1126 445 224 331
1127 413 282 305
1128 345 381 274
1129 275 498 227
1130 195 600 205
1131 126 692 182
1132 90 731 179
1133 68 743 189
1134 55 708 237
1135 41 663 296
1136 44 578 378
1137 50 458 492
1138 54 350 596
1139 84 254 662
1140 111 185 704
1141 167 146 687
1142 207 125 668
1143 280 130 590
1144 370 142 488
1145 419 172 409
1146 452 231 317
1147 426 294 280
1148 348 389 263
1149 252 506 242
1150 179 623 198
1151 139 691 170
1152 93 719 188
1153 62 735 203
1154 55 707 238
1155 43 651 306
1156 44 568 388
1157 45 450 505
1158 61 332 607
1159 86 248 666
1160 111 195 694
1161 157 154 689
1162 209 136 655
1163 286 140 574
1164 366 146 488
1165 405 184 411
1166 416 263 321
1167 370 336 294
1168 303 435 262
1169 240 543 217
1170 167 624 209
1171 114 693 193
1172 69 740 191
1173 49 747 204
1174 42 688 270
1175 44 622 334
1176 45 521 434
1177 51 412 537
1178 63 325 612
1179 75 244 681
1180 109 185 706
1181 186 144 670
1182 239 126 635
1183 324 139 537
1184 388 155 457
1185 407 200 393
1186 408 268 324
1187 370 348 282
1188 290 445 265
1189 210 566 224
1190 137 664 199
1191 84 724 192
1192 54 761 185
1193 46 746 208
1194 41 686 273
1195 40 611 349
1196 36 515 449
1197 37 398 565
1198 63 299 638
1199 75 213 712
1200 122 164 714
1201 188 132 680
1202 253 126 621
1203 337 136 527
1204 411 148 441
1205 452 191 357
1206 432 249 319
1207 381 355 264
1208 315 455 230
1209 222 553 225
1210 165 652 183
1211 114 699 187
1212 80 738 182
1213 59 729 212
1214 41 692 267
1215 45 604 351
1216 43 500 457
1217 45 404 551
1218 61 303 636
1219 82 240 678
1220 131 180 689
1221 184 140 676
1222 273 124 603
1223 350 123 527
1224 404 150 446
1225 467 192 341
1226 447 230 323
1227 408 313 279
1228 331 412 257
1229 239 529 232
1230 170 637 193
1231 110 707 183
1232 76 740 184
1233 59 732 209
1234 54 711 235
1235 40 633 327
1236 44 548 408
1237 53 427 520
1238 66 310 624
1239 85 227 688
1240 131 175 694
1241 170 137 693
1242 231 119 650
1243 299 136 565
1244 378 153 469
1245 438 195 367
1246 445 252 303
1247 402 328 270
1248 322 423 255
1249 231 541 228
1250 159 650 191
1251 124 705 171
1252 74 723 203
1253 50 731 219
1254 39 698 263
1255 45 633 322
1256 40 532 428
1257 45 419 536
1258 68 305 627
1259 92 227 681
1260 121 185 694
1261 173 148 679
1262 234 129 637
1263 311 133 556
1264 388 157 455
1265 432 193 375
1266 419 263 318
1267 364 354 282
1268 306 451 243
1269 215 546 239
1270 160 656 184
1271 112 707 181
1272 84 731 185
1273 59 723 218
1274 49 678 273
1275 43 597 360
1276 53 506 441
1277 53 401 546
1278 70 291 639
1279 91 223 686
1280 133 178 689
1281 188 144 668
1282 265 134 601
1283 339 138 523
1284 403 155 442
1285 435 196 369
1286 406 274 320
1287 345 371 284
1288 279 477 244
1289 193 577 230
1290 134 673 193
1291 104 728 168
1292 76 741 183
1293 53 728 219
1294 49 673 278
1295 43 580 377
1296 40 480 480
1297 55 383 562
1298 70 272 658
1299 99 202 699
1300 136 160 704
1301 205 136 659
1302 283 122 595
1303 355 137 508
1304 409 165 426
1305 453 208 339
1306 434 275 291
1307 366 364 270
1308 277 474 249
1309 212 587 201
1310 134 666 200
1311 98 729 173
1312 74 737 189
1313 51 718 231
1314 41 674 285
1315 40 595 365
1316 45 486 469
1317 55 368 577
1318 75 279 646
1319 109 196 695
1320 146 154 700
1321 211 136 653
1322 278 115 607
1323 365 127 508
1324 446 149 405
1325 475 186 339
1326 466 246 288
1327 396 338 266
1328 315 450 235
1329 229 549 222
1330 155 656 189
1331 99 718 183
1332 68 752 180
1333 53 746 201
1334 42 701 257
1335 48 620 332
1336 52 502 446
1337 49 399 552
1338 72 295 633
1339 93 210 697
1340 120 155 725
1341 176 134 690
1342 249 123 628
1343 330 131 539
1344 390 168 442
1345 441 211 348
1346 429 264 307
1347 373 361 266
1348 286 472 242
1349 208 580 212
1350 139 669 192
1351 103 730 167
1352 80 729 191
1353 62 709 229
1354 48 674 278
1355 43 591 366
1356 53 485 462
1357 54 367 579
1358 73 277 650
1359 111 197 692
1360 155 160 685
1361 201 136 663
1362 277 125 598
1363 350 132 518
1364 412 165 423
1365 425 221 354
1366 410 298 292
1367 324 393 283
1368 253 516 231
1369 178 611 211
1370 135 697 168
1371 98 733 169
1372 67 737 196
1373 58 712 230
1374 47 644 309
1375 37 560 403
1376 35 447 518
1377 49 354 597
1378 72 254 674
1379 109 195 696
1380 161 154 685
1381 234 127 639
1382 312 122 566
1383 401 128 471
1384 454 152 394
1385 478 192 330
1386 432 268 300
1387 374 373 253
1388 298 472 230
1389 212 575 213
1390 149 666 185
1391 110 723 167
1392 83 738 179
1393 53 725 222
1394 44 679 277
1395 43 583 374
1396 45 485 470
1397 56 380 564
1398 70 278 652
1399 108 207 685
1400 149 154 697
1401 218 126 656
1402 313 103 584
1403 393 104 503
1404 461 122 417
1405 508 159 333
1406 495 214 291
1407 419 298 283
1408 324 427 249
1409 249 550 201
1410 161 648 191
1411 108 735 157
1412 71 770 159
1413 49 770 181
1414 46 737 217
1415 34 656 310
1416 38 539 423
1417 46 412 542
1418 54 306 640
1419 77 211 712
1420 117 153 730
1421 167 113 720
1422 243 96 661
1423 360 101 539
1424 466 101 433
1425 522 122 356
1426 551 172 277
1427 521 238 241
1428 432 326 242
1429 331 455 214
1430 221 573 206
1431 149 678 173
1432 103 750 147
1433 76 775 149
1434 53 752 195
1435 40 709 251
1436 35 634 331
1437 32 510 458
1438 45 395 560
1439 56 277 667
1440 80 194 726
1441 129 145 726
1442 187 119 694
1443 259 104 637
1444 359 107 534
1445 436 131 433
1446 489 169 342
1447 473 234 293
1448 406 333 261
1449 283 449 268
1450 201 598 201
1451 144 695 161
1452 94 749 157
1453 71 775 154
1454 41 760 199
1455 25 725 250
1456 27 642 331
1457 27 524 449
1458 41 375 584
1459 59 264 677
1460 88 192 720
1461 130 137 733
1462 187 110 703
1463 283 88 629
1464 385 75 540
