p=1 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
1651 224 550 226
1652 157 650 193
1653 107 717 176
1654 83 751 166
1655 54 739 207
1656 43 691 266
1657 44 618 338
1658 54 513 433
1659 57 396 547
1660 67 293 640
1661 90 216 694
1662 130 159 711
1663 207 131 662
1664 276 102 622
1665 370 106 524
1666 450 117 433
1667 504 154 342
1668 492 203 305
1669 435 292 273
1670 342 406 252
1671 270 527 203
1672 175 628 197
1673 108 719 173
1674 71 775 154
1675 56 775 169
1676 49 741 210
1677 39 659 302
1678 41 555 404
1679 39 432 529
1680 51 333 616
1681 64 230 706
1682 99 161 740
1683 143 126 731
1684 219 116 665
1685 312 122 566
1686 388 133 479
1687 436 180 384
1688 463 231 306
1689 429 307 264
1690 336 410 254
1691 237 538 225
1692 148 647 205
1693 98 730 172
1694 61 769 170
1695 47 759 194
1696 42 722 236
1697 41 651 308
1698 46 549 405
1699 54 416 530
1700 66 299 635
1701 87 204 709
1702 130 144 726
1703 178 111 711
1704 241 100 659
1705 323 108 569
1706 421 128 451
1707 484 163 353
1708 505 217 278
1709 444 291 265
1710 350 412 238
1711 253 539 208
1712 170 647 183
1713 117 722 161
1714 75 755 170
1715 50 762 188
1716 46 733 221
1717 37 663 300
1718 39 551 410
1719 45 422 533
1720 60 308 632
1721 84 218 698
1722 114 161 725
1723 160 124 716
1724 225 107 668
1725 330 112 558
1726 429 119 452
1727 478 149 373
1728 478 214 308
1729 406 304 290
1730 331 433 236
1731 260 545 195
1732 173 633 194
1733 120 715 165
1734 81 761 158
1735 56 770 174
1736 39 730 231
1737 34 657 309
1738 38 533 429
1739 46 417 537
1740 56 321 623
1741 71 229 700
1742 97 168 735
1743 157 133 710
1744 239 113 648
1745 347 104 549
1746 424 120 456
1747 470 159 371
1748 458 209 333
1749 406 313 281
1750 323 426 251
1751 233 544 223
1752 165 654 181
1753 109 731 160
1754 73 771 156
1755 59 768 173
1756 48 732 220
1757 41 639 320
1758 44 533 423
1759 45 412 543
1760 54 301 645
1761 72 215 713
1762 106 157 737
1763 153 126 721
1764 245 115 640
1765 340 116 544
1766 434 127 439
1767 494 154 352
1768 502 205 293
1769 450 283 267
1770 347 393 260
1771 228 527 245
1772 157 657 186
1773 97 727 176
1774 63 776 161
1775 56 783 161
1776 47 739 214
1777 47 670 283
1778 46 560 394
1779 49 427 524
1780 65 294 641
1781 82 208 710
1782 110 142 748
1783 157 107 736
1784 226 104 670
1785 322 104 574
1786 433 118 449
1787 521 140 339
1788 524 185 291
1789 474 268 258
1790 383 384 233
1791 263 510 227
1792 166 633 201
1793 97 730 173
1794 69 785 146
1795 44 791 165
1796 33 771 196
1797 32 699 269
1798 32 584 384
1799 41 458 501
1800 49 326 625
1801 65 221 714
1802 93 150 757
1803 131 116 753
1804 205 98 697
1805 304 96 600
1806 403 112 485
1807 484 139 377
1808 520 190 290
1809 496 259 245
1810 409 354 237
1811 316 475 209
1812 216 586 198
1813 128 688 184
1814 84 760 156
1815 61 777 162
1816 46 749 205
1817 39 695 266
1818 31 607 362
1819 42 494 464
1820 50 372 578
1821 69 262 669
1822 94 171 735
1823 144 129 727
1824 205 107 688
1825 284 100 616
1826 381 109 510
1827 455 125 420
1828 504 173 323
1829 468 234 298
1830 391 361 248
1831 279 480 241
1832 211 614 175
1833 138 689 173
1834 100 753 147
1835 63 775 162
1836 43 764 193
1837 32 723 245
1838 29 607 364
1839 28 491 481
1840 36 358 606
1841 53 275 672
1842 77 194 729
1843 121 148 731
1844 184 115 701
1845 291 93 616
1846 385 102 513
1847 470 124 406
1848 481 172 347
1849 468 244 288
1850 399 338 263
1851 309 453 238
1852 226 576 198
1853 145 681 174
1854 97 753 150
1855 57 779 164
1856 44 771 185
1857 32 712 256
1858 28 630 342
1859 34 519 447
1860 31 390 579
1861 48 288 664
1862 76 199 725
1863 126 145 729
1864 190 103 707
1865 275 98 627
1866 364 95 541
1867 450 117 433
1868 488 160 352
1869 498 224 278
1870 432 303 265
1871 364 423 213
1872 271 533 196
1873 180 631 189
1874 117 725 158
1875 74 766 160
1876 50 766 184
1877 44 726 230
1878 41 653 306
1879 33 536 431
1880 42 434 524
1881 49 327 624
1882 73 226 701
1883 111 161 728
1884 168 123 709
1885 237 106 657
1886 331 110 559
1887 408 133 459
1888 468 158 374
1889 480 205 315
1890 438 294 268
1891 329 401 270
1892 243 548 209
1893 156 651 193
1894 96 734 170
1895 67 771 162
1896 48 775 177
1897 37 747 216
1898 36 669 295
1899 31 563 406
1900 38 421 541
1901 49 311 640
1902 73 217 710
1903 105 156 739
1904 148 120 732
1905 225 105 670
1906 315 106 579
1907 428 122 450
1908 487 151 362
1909 513 202 285
1910 453 270 277
1911 363 391 246
1912 266 517 217
1913 175 629 196
1914 100 719 181
1915 74 778 148
1916 50 775 175
1917 40 748 212
1918 36 690 274
1919 36 573 391
1920 41 447 512
1921 54 330 616
1922 71 227 702
1923 105 151 744
1924 156 120 724
1925 219 96 685
1926 326 91 583
1927 432 101 467
1928 504 121 375
1929 538 166 296
1930 513 235 252
1931 428 336 236
1932 319 452 229
1933 224 585 191
1934 142 685 173
1935 97 757 146
1936 59 782 159
1937 47 775 178
1938 38 718 244
1939 37 626 337
1940 36 511 453
1941 42 379 579
1942 56 273 671
1943 74 187 739
1944 113 144 743
1945 177 112 711
1946 269 105 626
1947 360 105 535
1948 461 129 410
1949 496 160 344
1950 492 231 277
1951 417 321 262
1952 331 439 230
1953 234 557 209
1954 151 661 188
1955 107 744 149
1956 71 764 165
1957 47 769 184
1958 35 722 243
1959 34 644 322
1960 38 527 435
1961 46 405 549
1962 56 293 651
1963 76 200 724
1964 106 160 734
1965 171 125 704
1966 243 107 650
1967 345 113 542
1968 430 128 442
1969 476 165 359
1970 477 231 292
1971 403 323 274
1972 305 437 258
1973 226 570 204
1974 155 667 178
1975 101 732 167
1976 68 771 161
1977 41 767 192
1978 29 728 243
1979 33 648 319
1980 35 530 435
1981 36 395 569
1982 57 297 646
1983 76 211 713
1984 109 153 738
1985 174 124 702
1986 250 98 652
1987 350 102 548
1988 445 120 435
1989 467 160 373
1990 453 236 311
1991 394 336 270
1992 305 453 242
1993 210 571 219
1994 141 692 167
1995 95 757 148
1996 68 785 147
1997 52 772 176
1998 41 712 247
1999 36 623 341
2000 40 511 449
2001 42 389 569
2002 59 266 675
2003 77 184 739
2004 122 138 740
2005 201 106 693
2006 292 87 621
2007 384 85 531
2008 469 105 426
2009 542 142 316
2010 539 192 269
2011 479 277 244
2012 390 383 227
2013 289 504 207
2014 176 624 200
2015 112 739 149
2016 74 783 143
2017 48 784 168
2018 34 760 206
2019 33 689 278
2020 27 584 389
2021 27 469 504
2022 33 349 618
2023 61 228 711
2024 101 156 743
2025 142 115 743
2026 216 98 686
2027 309 95 596
2028 394 107 499
2029 458 137 405
2030 504 193 303
2031 470 268 262
2032 376 374 250
2033 276 509 215
2034 173 626 201
2035 106 732 162
2036 77 787 136
2037 62 786 152
2038 46 745 209
2039 33 686 281
2040 29 593 378
2041 39 462 499
2042 53 335 612
2043 68 215 717
2044 98 145 757
2045 154 116 730
2046 217 101 682
2047 302 97 601
2048 414 105 481
2049 476 124 400
2050 521 189 290
2051 502 264 234
2052 395 353 252
2053 280 489 231
2054 192 619 189
2055 125 711 164
2056 81 770 149
2057 51 795 154
2058 41 760 199
2059 36 695 269
2060 31 611 358
2061 34 480 486
2062 52 347 601
2063 69 237 694
2064 89 161 750
2065 152 116 732
2066 214 88 698
2067 283 91 626
2068 397 106 497
2069 498 123 379
2070 541 155 304
2071 508 222 270
2072 436 331 233
2073 332 448 220
2074 228 580 192
2075 137 681 182
2076 102 757 141
2077 64 775 161
2078 39 781 180
2079 33 739 228
2080 31 636 333
2081 31 521 448
2082 37 389 574
2083 55 282 663
2084 81 188 731
2085 115 144 741
2086 179 104 717
2087 281 82 637
2088 377 83 540
2089 480 102 418
2090 538 131 331
2091 560 180 260
2092 494 252 254
2093 405 362 233
2094 298 491 211
2095 203 620 177
2096 130 714 156
2097 69 768 163
2098 51 800 149
2099 50 769 181
2100 33 698 269
2101 30 605 365
2102 28 479 493
2103 39 352 609
2104 65 247 688
2105 93 167 740
2106 146 107 747
2107 215 85 700
2108 312 87 601
2109 421 83 496
2110 507 100 393
2111 544 141 315
2112 522 209 269
2113 455 311 234
2114 336 438 226
2115 213 579 208
2116 137 700 163
2117 76 780 144
2118 51 824 125
2119 36 808 156
2120 26 755 219
2121 24 663 313
2122 23 538 439
2123 34 398 568
2124 49 266 685
2125 66 171 763
2126 106 110 784
2127 171 86 743
2128 259 74 667
2129 360 78 562
2130 463 102 435
2131 536 139 325
2132 541 198 261
2133 497 288 215
2134 384 393 223
2135 261 530 209
2136 170 665 165
2137 108 752 140
2138 74 790 136
2139 46 787 167
2140 37 756 207
2141 34 675 291
2142 35 573 392
2143 37 435 528
2144 46 298 656
2145 76 202 722
2146 110 134 756
2147 160 103 737
2148 236 84 680
2149 324 89 587
2150 433 103 464
2151 524 132 344
2152 548 178 274
2153 512 250 238
2154 425 354 221
2155 308 472 220
2156 202 608 190
2157 130 709 161
2158 83 767 150
2159 50 785 165
2160 39 772 189
2161 29 711 260
2162 25 617 358
2163 31 503 466
2164 38 361 601
2165 61 253 686
2166 90 172 738
2167 134 125 741
2168 204 94 702
2169 293 85 622
2170 391 90 519
2171 493 106 401
2172 547 146 307
2173 540 200 260
2174 460 288 252
2175 352 415 233
2176 241 554 205
2177 148 674 178
2178 92 762 146
2179 57 802 141
2180 50 797 153
2181 33 750 217
2182 33 679 288
2183 27 552 421
2184 35 419 546
2185 44 291 665
2186 73 194 733
2187 110 125 765
2188 162 93 745
2189 245 88 667
2190 361 76 563
2191 484 87 429
2192 559 97 344
2193 581 150 269
2194 524 225 251
2195 410 351 239
2196 281 497 222
2197 176 631 193
2198 107 748 145
2199 78 806 116
2200 49 825 126
2201 39 801 160
2202 26 736 238
2203 31 623 346
2204 38 472 490
2205 41 331 628
2206 57 211 732
2207 77 137 786
2208 129 98 773
2209 205 70 725
2210 316 59 625
2211 454 61 485
2212 569 74 357
2213 625 100 275
2214 603 164 233
2215 525 260 215
2216 418 377 205
2217 280 512 208
2218 178 661 161
2219 92 761 147
2220 58 834 108
2221 41 842 117
2222 33 795 172
2223 29 707 264
2224 19 594 387
2225 23 469 508
2226 34 316 650
2227 44 205 751
2228 72 122 806
2229 130 86 784
2230 221 75 704
2231 321 72 607
2232 423 85 492
2233 537 108 355
2234 569 147 284
2235 541 226 233
2236 429 337 234
2237 282 485 233
2238 164 643 193
2239 98 764 138
2240 63 817 120
2241 48 829 123
2242 40 805 155
2243 34 734 232
2244 28 629 343
2245 37 487 476
2246 37 320 643
2247 54 199 747
2248 87 129 784
2249 126 84 790
2250 199 69 732
2251 292 67 641
2252 409 79 512
2253 537 104 359
2254 576 143 281
2255 539 225 236
2256 453 332 215
2257 309 463 228
2258 193 622 185
2259 119 740 141
2260 63 802 135
2261 44 833 123
2262 38 813 149
2263 37 737 226
2264 28 631 341
2265 27 509 464
2266 35 351 614
2267 51 225 724
2268 79 147 774
2269 108 88 804
2270 183 79 738
2271 274 80 646
2272 379 95 526
2273 494 112 394
2274 544 155 301
2275 537 231 232
2276 472 316 212
2277 348 440 212
2278 223 573 204
2279 111 697 192
2280 69 794 137
2281 49 819 132
2282 39 796 165
2283 33 730 237
2284 28 651 321
2285 31 532 437
2286 36 396 568
2287 52 267 681
2288 79 154 767
2289 117 102 781
2290 184 87 729
2291 261 86 653
2292 369 88 543
2293 478 99 423
2294 556 126 318
2295 579 177 244
2296 518 267 215
2297 400 380 220
2298 260 513 227
2299 151 654 195
2300 97 761 142
2301 62 804 134
2302 48 812 140
2303 39 775 186
2304 29 694 277
2305 32 591 377
2306 36 455 509
2307 48 310 642
2308 67 191 742
2309 100 129 771
2310 149 88 763
2311 231 76 693
2312 327 75 598
2313 438 82 480
2314 545 107 348
2315 585 145 270
2316 535 224 241
2317 440 336 224
2318 310 472 218
2319 186 614 200
2320 122 739 139
2321 79 796 125
2322 49 814 137
2323 31 806 163
2324 28 745 227
2325 25 636 339
2326 32 503 465
2327 38 354 608
2328 53 223 724
2329 75 151 774
2330 117 111 772
2331 188 77 735
2332 290 67 643
2333 401 74 525
2334 519 96 385
2335 594 127 279
2336 572 183 245
2337 502 277 221
2338 410 387 203
2339 284 513 203
2340 182 649 169
2341 119 744 137
2342 69 785 146
2343 48 804 148
2344 29 769 202
2345 30 694 276
2346 28 583 389
2347 34 459 507
2348 41 317 642
2349 62 215 723
2350 92 153 755
2351 147 104 749
2352 229 84 687
2353 329 77 594
2354 422 88 490
2355 526 119 355
2356 567 157 276
2357 516 218 266
2358 425 331 244
2359 310 471 219
2360 207 606 187
2361 126 716 158
2362 76 786 138
2363 57 805 138
2364 43 786 171
2365 30 739 231
2366 23 639 338
2367 21 506 473
2368 34 373 593
2369 50 250 700
2370 80 164 756
2371 117 115 768
2372 179 97 724
2373 278 82 640
2374 398 83 519
2375 493 96 411
2376 563 134 303
2377 565 187 248
2378 484 271 245
2379 350 401 249
2380 244 553 203
2381 142 674 184
2382 94 775 131
2383 69 810 121
2384 36 797 167
2385 26 777 197
2386 21 703 276
2387 24 578 398
2388 24 423 553
2389 40 302 658
2390 59 185 756
2391 98 131 771
2392 143 105 752
2393 214 80 706
2394 327 83 590
2395 456 95 449
2396 524 121 355
2397 568 174 258
2398 515 247 238
2399 405 354 241
2400 303 490 207
2401 209 617 174
2402 129 708 163
2403 69 776 155
2404 41 810 149
2405 27 785 188
2406 27 726 247
2407 27 619 354
2408 34 483 483
2409 44 349 607
2410 60 248 692
2411 81 164 755
2412 129 109 762
2413 198 86 716
2414 298 76 626
2415 416 83 501
2416 504 101 395
2417 544 147 309
2418 513 208 279
2419 444 323 233
2420 347 447 206
2421 238 567 195
2422 124 686 190
2423 85 793 122
2424 54 814 132
2425 38 799 163
2426 30 754 216
2427 35 647 318
2428 43 518 439
2429 39 390 571
2430 47 275 678
2431 65 160 775
2432 112 121 767
2433 164 89 747
2434 273 82 645
2435 379 80 541
2436 459 103 438
2437 520 151 329
2438 552 205 243
2439 462 288 250
2440 350 417 233
2441 236 561 203
2442 148 682 170
2443 79 772 149
2444 59 818 123
2445 38 790 172
2446 32 757 211
2447 33 680 287
2448 29 550 421
2449 39 410 551
2450 49 279 672
2451 68 179 753
2452 107 114 779
2453 163 103 734
2454 244 80 676
2455 358 76 566
2456 465 92 443
2457 552 125 323
2458 588 169 243
2459 552 233 215
2460 402 334 264
2461 305 495 200
2462 202 615 183
2463 128 722 150
2464 84 780 136
2465 50 791 159
2466 40 781 179
2467 31 727 242
2468 35 635 330
2469 37 470 493
2470 40 348 612
2471 61 238 701
2472 92 159 749
2473 125 117 758
2474 182 94 724
2475 276 91 633
2476 423 89 488
2477 499 107 394
2478 540 153 307
2479 514 222 264
2480 432 327 241
2481 313 451 236
2482 212 593 195
2483 145 697 158
2484 91 766 143
2485 59 802 139
2486 46 788 166
2487 31 732 237
2488 34 642 324
2489 43 515 442
2490 45 364 591
2491 51 258 691
2492 71 183 746
2493 115 127 758
2494 176 97 727
2495 260 92 648
2496 368 98 534
2497 491 117 392
2498 529 145 326
2499 517 213 270
2500 453 300 247
2501 359 420 221
2502 243 544 213
2503 151 665 184
2504 86 751 163
2505 60 797 143
2506 46 795 159
2507 40 741 219
2508 30 660 310
2509 34 550 416
2510 39 422 539
2511 53 296 651
2512 69 196 735
2513 98 134 768
2514 169 107 724
2515 253 90 657
2516 355 87 558
2517 456 95 449
2518 546 122 332
2519 575 158 267
2520 541 229 230
2521 432 325 243
2522 304 461 235
2523 186 606 208
2524 126 727 147
2525 75 779 146
2526 55 803 142
2527 46 787 167
2528 43 725 232
2529 35 632 333
2530 31 504 465
2531 39 363 598
2532 57 234 709
2533 82 164 754
2534 115 115 770
2535 180 98 722
2536 262 95 643
2537 368 106 526
2538 458 128 414
2539 516 179 305
2540 468 250 282
2541 405 368 227
2542 295 480 225
2543 173 607 220
2544 107 732 161
2545 71 787 142
2546 53 801 146
2547 39 768 193
2548 28 711 261
2549 31 604 365
2550 34 489 477
2551 41 359 600
2552 61 227 712
2553 85 152 763
2554 140 114 746
2555 202 92 706
2556 302 87 611
2557 394 94 512
2558 488 117 395
2559 547 153 300
2560 515 226 259
2561 423 333 244
2562 314 463 223
2563 212 594 194
2564 132 701 167
2565 80 774 146
2566 57 803 140
2567 39 790 171
2568 26 735 239
2569 30 641 329
2570 28 507 465
2571 37 378 585
2572 56 262 682
2573 76 170 754
2574 110 121 769
2575 180 100 720
2576 271 85 644
2577 386 88 526
2578 476 107 417
2579 523 146 331
2580 502 215 283
2581 426 328 246
2582 308 453 239
2583 220 592 188
2584 150 695 155
2585 89 762 149
2586 62 804 134
2587 42 792 166
2588 29 743 228
2589 27 643 330
2590 28 520 452
2591 31 380 589
2592 45 274 681
2593 64 193 743
2594 102 132 766
2595 161 106 733
2596 259 96 645
2597 360 98 542
2598 466 120 414
2599 508 154 338
2600 498 218 284
2601 450 309 241
2602 366 418 216
2603 276 528 196
2604 194 628 178
2605 124 708 168
2606 76 756 168
2607 52 770 178
2608 37 730 233
2609 30 654 316
2610 31 552 417
2611 40 441 519
2612 52 332 616
2613 76 240 684
2614 104 168 728
2615 162 126 712
2616 240 108 652
2617 332 106 562
2618 417 116 467
2619 468 142 390
2620 479 200 321
2621 450 281 269
2622 390 382 228
2623 288 484 228
2624 185 604 211
2625 116 709 175
2626 68 768 164
2627 46 790 164
2628 35 754 211
2629 26 684 290
2630 34 592 374
2631 33 482 485
2632 42 363 595
2633 63 249 688
2634 83 169 748
2635 135 127 738
2636 214 111 675
2637 302 102 596
2638 381 106 513
2639 459 137 404
2640 488 178 334
2641 454 263 283
2642 371 377 252
2643 288 502 210
2644 200 601 199
2645 122 698 180
2646 79 772 149
2647 64 784 152
2648 47 758 195
2649 36 690 274
2650 43 587 370
2651 46 455 499
2652 45 353 602
2653 53 257 690
2654 84 175 741
2655 130 132 738
2656 209 112 679
2657 307 101 592
2658 411 106 483
2659 462 134 404
2660 481 185 334
2661 479 262 259
2662 396 346 258
2663 297 472 231
2664 216 591 193
2665 138 683 179
2666 102 756 142
2667 66 764 170
2668 50 749 201
2669 44 688 268
2670 33 610 357
2671 34 495 471
2672 39 375 586
2673 56 278 666
2674 84 188 728
2675 132 152 716
2676 192 119 689
2677 266 120 614
2678 368 124 508
2679 459 137 404
2680 485 166 349
2681 471 237 292
2682 385 341 274
2683 311 463 226
2684 224 570 206
2685 151 656 193
2686 114 725 161
2687 73 749 178
2688 49 761 190
2689 31 714 255
2690 31 628 341
2691 32 506 462
2692 54 398 548
2693 64 290 646
2694 84 211 705
2695 108 167 725
2696 174 131 695
2697 263 112 625
2698 370 109 521
2699 434 124 442
2700 480 168 352
2701 464 230 306
2702 405 325 270
2703 313 428 259
2704 227 556 217
2705 145 661 194
2706 92 746 162
2707 57 784 159
2708 41 775 184
2709 44 729 227
2710 39 631 330
2711 40 533 427
2712 46 404 550
2713 56 293 651
2714 74 198 728
2715 125 142 733
2716 182 100 718
2717 270 89 641
2718 348 99 553
2719 445 119 436
2720 502 151 347
2721 510 205 285
2722 448 292 260
2723 364 410 226
2724 266 536 198
2725 167 645 188
2726 118 734 148
2727 72 763 165
2728 53 777 170
2729 44 742 214
2730 34 664 302
2731 29 556 415
2732 31 435 534
2733 44 324 632
2734 76 222 702
2735 110 161 729
2736 159 113 728
2737 236 99 665
2738 329 100 571
2739 423 115 462
2740 490 142 368
2741 508 186 306
2742 471 270 259
2743 390 368 242
2744 300 497 203
2745 200 601 199
2746 126 700 174
2747 76 759 165
2748 58 782 160
2749 48 756 196
2750 37 682 281
2751 34 595 371
2752 41 469 490
2753 49 358 593
2754 69 251 680
2755 96 172 732
2756 139 122 739
2757 215 105 680
2758 286 103 611
2759 386 119 495
2760 451 145 404
2761 479 191 330
2762 451 270 279
2763 374 377 249
2764 277 504 219
2765 181 618 201
2766 112 716 172
2767 77 769 154
2768 53 778 169
2769 37 756 207
2770 33 693 274
2771 31 590 379
2772 30 465 505
2773 42 352 606
2774 68 242 690
2775 98 163 739
2776 139 124 737
2777 210 105 685
2778 309 97 594
2779 415 101 484
2780 491 120 389
2781 520 157 323
2782 507 238 255
2783 430 330 240
2784 313 446 241
2785 229 582 189
2786 160 674 166
2787 94 739 167
2788 65 786 149
2789 42 778 180
2790 32 720 248
2791 33 638 329
2792 34 521 445
2793 44 384 572
2794 56 282 662
2795 80 205 715
2796 112 134 754
2797 186 110 704
2798 273 94 633
2799 363 89 548
2800 460 116 424
2801 490 156 354
2802 467 228 305
2803 433 328 239
2804 325 433 242
2805 231 565 204
2806 139 675 186
2807 91 772 137
2808 67 793 140
2809 45 777 178
2810 33 727 240
2811 27 639 334
2812 37 540 423
2813 39 398 563
2814 43 286 671
2815 71 185 744
2816 115 136 749
2817 177 108 715
2818 265 96 639
2819 359 96 545
2820 467 101 432
2821 529 135 336
2822 553 185 262
2823 478 262 260
2824 365 386 249
2825 242 527 231
2826 169 662 169
2827 113 735 152
2828 73 786 141
2829 51 792 157
2830 40 764 196
2831 35 698 267
2832 33 579 388
2833 44 440 516
2834 51 294 655
2835 57 214 729
2836 93 157 750
2837 139 115 746
2838 208 97 695
2839 317 94 589
2840 421 104 475
2841 508 139 353
2842 520 198 282
2843 487 266 247
2844 398 356 246
2845 280 487 233
2846 181 623 196
2847 119 725 156
2848 80 777 143
2849 62 781 157
2850 47 740 213
2851 39 687 274
2852 37 605 358
2853 41 476 483
2854 52 336 612
2855 64 223 713
2856 99 159 742
2857 152 120 728
2858 213 108 679
2859 289 100 611
2860 387 106 507
2861 479 137 384
2862 521 185 294
2863 500 256 244
2864 406 341 253
2865 304 474 222
2866 215 588 197
2867 148 685 167
2868 94 746 160
2869 61 769 170
2870 37 754 209
2871 29 707 264
2872 33 630 337
2873 40 493 467
2874 55 372 573
2875 66 260 674
2876 93 188 719
2877 139 138 723
2878 197 107 696
2879 273 96 631
2880 378 97 525
2881 448 129 423
2882 484 180 336
2883 465 256 279
2884 409 347 244
2885 316 453 231
2886 227 577 196
2887 154 677 169
2888 83 749 168
2889 57 788 155
2890 41 763 196
2891 41 703 256
2892 46 612 342
2893 45 501 454
2894 49 378 573
2895 60 274 666
2896 89 191 720
2897 136 123 741
2898 193 101 706
2899 277 104 619
2900 358 111 531
2901 441 141 418
2902 487 181 332
2903 470 239 291
2904 412 339 249
2905 318 465 217
2906 222 581 197
2907 136 674 190
2908 81 753 166
2909 55 778 167
2910 43 764 193
2911 36 718 246
2912 31 625 344
2913 32 504 464
2914 48 387 565
2915 60 278 662
2916 89 187 724
2917 127 133 740
2918 184 109 707
2919 273 98 629
2920 365 102 533
2921 444 131 425
2922 492 169 339
2923 492 230 278
2924 420 321 259
2925 337 447 216
2926 231 554 215
2927 154 671 175
2928 105 744 151
2929 74 764 162
2930 48 757 195
2931 44 722 234
2932 37 635 328
2933 39 516 445
2934 43 407 550
2935 55 286 659
2936 89 201 710
2937 126 147 727
2938 179 117 704
2939 256 99 645
2940 359 109 532
2941 426 125 449
2942 496 167 337
2943 499 218 283
2944 438 300 262
2945 336 415 249
2946 255 547 198
2947 158 646 196
2948 104 733 163
2949 72 771 157
2950 57 761 182
2951 48 725 227
2952 44 652 304
2953 42 541 417
2954 44 411 545
2955 59 310 631
2956 79 208 713
2957 122 150 728
2958 175 117 708
2959 251 100 649
2960 339 97 564
2961 438 120 442
2962 486 151 363
2963 509 204 287
2964 457 283 260
2965 372 393 235
2966 269 511 220
2967 180 631 189
2968 123 723 154
2969 83 757 160
2970 60 766 174
2971 45 736 219
2972 46 672 282
2973 44 561 395
2974 40 445 515
2975 41 329 630
2976 73 236 691
2977 101 170 729
2978 150 133 717
2979 217 114 669
2980 316 111 573
2981 419 123 458
2982 495 136 369
2983 530 176 294
2984 505 234 261
2985 431 325 244
2986 309 436 255
2987 205 577 218
2988 124 684 192
2989 79 753 168
2990 57 785 158
2991 51 767 182
2992 39 715 246
2993 36 636 328
2994 42 528 430
2995 57 381 562
2996 69 259 672
2997 85 178 737
2998 128 130 742
2999 181 105 714
3000 251 104 645
3001 343 113 544
3002 447 129 424
3003 512 172 316
3004 508 229 263
3005 440 314 246
3006 327 430 243
3007 207 568 225
3008 140 689 171
3009 98 747 155
3010 77 773 150
3011 47 751 202
3012 40 724 236
3013 33 646 321
3014 33 537 430
3015 40 399 561
3016 54 271 675
3017 71 199 730
3018 113 156 731
3019 153 136 711
3020 226 123 651
3021 322 128 550
3022 418 141 441
3023 470 183 347
3024 434 259 307
3025 364 367 269
3026 260 480 260
3027 193 604 203
3028 124 684 192
3029 93 748 159
3030 57 766 177
3031 47 760 193
3032 41 694 265
3033 47 592 361
3034 42 473 485
3035 54 354 592
3036 58 262 680
3037 76 194 730
3038 107 158 735
3039 177 133 690
3040 267 129 604
3041 356 141 503
3042 412 171 417
3043 429 234 337
3044 400 309 291
3045 337 406 257
3046 254 505 241
3047 174 613 213
3048 112 697 191
3049 74 747 179
3050 55 755 190
3051 45 711 244
3052 38 646 316
3053 37 556 407
3054 51 458 491
3055 49 336 615
3056 63 254 683
3057 97 190 713
3058 162 148 690
3059 219 127 654
3060 304 135 561
3061 377 140 483
3062 437 165 398
3063 455 227 318
3064 432 291 277
3065 351 378 271
3066 264 501 235
3067 186 609 205
3068 133 679 188
3069 90 727 183
3070 58 745 197
3071 57 715 228
3072 49 652 299
3073 41 573 386
3074 42 458 500
3075 61 349 590
3076 76 260 664
3077 100 197 703
3078 152 155 693
3079 206 133 661
3080 271 142 587
3081 354 156 490
3082 414 188 398
3083 437 237 326
3084 405 303 292
3085 326 398 276
3086 234 519 247
3087 146 633 221
3088 110 712 178
3089 80 734 186
3090 60 732 208
3091 45 703 252
3092 41 652 307
3093 38 561 401
3094 41 443 516
3095 59 326 615
3096 81 229 690
3097 113 185 702
3098 161 155 684
3099 208 136 656
3100 285 140 575
3101 387 154 459
3102 456 170 374
3103 468 218 314
3104 400 303 297
3105 322 415 263
3106 232 523 245
3107 165 632 203
3108 113 695 192
3109 86 733 181
3110 73 744 183
3111 61 709 230
3112 55 636 309
3113 57 530 413
3114 53 420 527
3115 73 315 612
3116 92 232 676
3117 110 175 715
3118 157 146 697
3119 223 134 643
3120 323 141 536
3121 405 147 448
3122 463 175 362
3123 459 222 319
3124 411 309 280
3125 316 414 270
3126 227 538 235
3127 164 639 197
3128 106 695 199
3129 81 747 172
3130 61 744 195
3131 47 717 236
3132 49 644 307
3133 52 537 411
3134 50 410 540
3135 71 311 618
3136 86 234 680
3137 117 167 716
3138 168 139 693
3139 253 115 632
3140 340 103 557
3141 435 123 442
3142 485 155 360
3143 464 204 332
3144 426 302 272
3145 314 407 279
3146 240 547 213
3147 165 645 190
3148 104 732 164
3149 81 773 146
3150 65 764 171
3151 50 731 219
3152 48 648 304
3153 41 545 414
3154 44 412 544
3155 43 311 646
3156 67 225 708
3157 100 160 740
3158 154 136 710
3159 244 115 641
3160 331 108 561
3161 436 124 440
3162 480 152 368
3163 484 209 307
3164 436 291 273
3165 336 404 260
3166 241 528 231
3167 163 644 193
3168 98 729 173
3169 74 778 148
3170 60 774 166
3171 45 731 224
3172 35 664 301
3173 36 561 403
3174 36 436 528
3175 46 320 634
3176 68 225 707
3177 109 154 737
3178 163 117 720
3179 241 106 653
3180 345 95 560
3181 445 94 461
3182 515 119 366
3183 546 165 289
3184 547 229 224
3185 468 299 233
3186 364 415 221
3187 262 530 208
3188 178 643 179
3189 107 728 165
3190 75 774 151
3191 47 760 193
3192 35 724 241
3193 29 666 305
3194 35 556 409
3195 41 435 524
3196 47 316 637
3197 74 225 701
3198 118 152 730
3199 169 122 709
3200 220 107 673
