0.000000 3.824502 0.000000
0.050000 3.928225 0.000446
0.100000 4.618738 0.000675
0.150000 5.553350 0.000966
0.200000 6.565720 0.001522
0.250000 7.608703 0.002422
0.300000 8.666694 0.003703
0.350000 9.729162 0.005381
0.400000 10.805066 0.007421
0.450000 11.866463 0.009921
0.500000 12.938668 0.012868
0.550000 14.003272 0.016140
0.600000 15.070800 0.020354
0.650000 16.139472 0.025487
0.700000 17.196855 0.031059
0.750000 18.263722 0.037575
0.800000 19.323180 0.045636
0.850000 20.372106 0.052920
0.900000 21.397199 0.059767
0.950000 22.382731 0.069126
1.000000 23.471056 0.081301
