0.000000 97.072575 0.002389
10.000000 87.656538 0.002392
20.000000 78.236834 0.002390
30.000000 68.820348 0.002384
40.000000 59.403419 0.002391
50.000000 49.983848 0.002373
60.000000 40.566056 0.002384
70.000000 31.147919 0.002388
80.000000 21.775095 0.002882
90.000000 12.914337 0.005198
100.000000 6.025319 0.008094
110.000000 2.122559 0.006737
120.000000 0.581452 0.003748
130.000000 0.127725 0.001740
140.000000 0.024669 0.000753
150.000000 0.004306 0.000309
160.000000 0.000629 0.000110
170.000000 0.000080 0.000041
180.000000 0.000014 0.000012
190.000000 0.000007 0.000010
200.000000 0.000000 0.000000
